deconvolved_not deconvolved, bmaj, bmaj_error,bmin,bmin_error
deconvolved , 0.06910313574859067 , 0.009437428806844027 , 0.03139337954601136 , 0.01000674889386521
deconvolved , 0.0656261627616837 , 0.005156712484919168 , 0.02610201044475522 , 0.004823157313799113
deconvolved , 0.1272443975090992 , 0.01477079936048134 , 0.04873749759910804 , 0.007223271202032894
deconvolved , 0.1017810624217225 , 0.020430621833272655 , 0.04692235278040958 , 0.012711391353038927
deconvolved , 0.02278287161802031 , 0.008474996762038098 , 0.00792976620321033 , 0.0134752841106338
deconvolved , 0.06376308783672405 , 0.0033818124963954713 , 0.04092974636505704 , 0.003287965752933511
deconvolved , 0.05460903812171285 , 0.016008686938364013 , 0.021640632744069816 , 0.011026863876586065
not deconvolved , 0.04879018081235995 , 0.004291075325084788 , 0.0435512171208829 , 0.0033884938632944574
deconvolved , 0.037973914079917084 , 0.007619659215737519 , 0.01669823337479224 , 0.00777603529703794
deconvolved , 1e-60 , 0.04747689070344153 , 1e-60 , 0.010912019951460433
not deconvolved , 0.07674259869713908 , 0.0052629014996096336 , 0.04294634277150286 , 0.0017831978652111424
not deconvolved , 0.10286597801305987 , 0.028372526126898313 , 0.03910655833010071 , 0.005070258113444491
deconvolved , 0.02832133684131481 , 0.005837263833698387 , 0.013746921868318105 , 0.00713441203568462
deconvolved , 0.07698574013677964 , 0.019956653797242555 , 0.048431839458045384 , 0.017857384449992277
deconvolved , 0.07200143725733625 , 0.01317292226228832 , 0.05570954807137937 , 0.012188572615754137
not deconvolved , 0.06301165769479077 , 0.007820569450625491 , 0.04315119506211662 , 0.0037285449627956864
deconvolved , 0.05597786629995949 , 0.015252285827518863 , 0.011361540651935372 , 0.018262082512724896